category,link_name,link_url,description,note
Looker,BadStock Monitoring,https://drive.google.com/drive/folders/1KgUA6uJPudyyHB2Yw5b9_vDuc1K7j_l7,Gdrive - Bad stock,"Sheet All Gsheet, Update Weekly, Menyesuaikan untuk WH nya"
Looker,Consumable Monitoring,https://docs.google.com/spreadsheets/d/1NQdOmuW0ZXL_B0JHBdGAFxyLtkxLAeh0Dt5gO_aZBes/edit?gid=561601535#gid=561601535,Report Consumable,Update Monthly
Looker,All Data Vir and BadStock,https://docs.google.com/spreadsheets/d/1LukyeQc3iWx6RbrQhYdS8smyqteo-bX5oTYAauTqDoQ/edit?pli=1&gid=0#gid=0,All Data BadStock (Non K-log),"Sheet Query, Update Weekly, Update by tracker gdrive"
Looker,Reconcile Vir Benoa 2025,https://docs.google.com/spreadsheets/d/1O6KzIQqSyHAtZ4_rcihLWiJADER5TRzyjM-boVFu0F0/edit?usp=sharing,Report Reconcile Benoa - 2025 Q3 Q4,"Sheet Query, Update Daily, auto update from external gsheet"
Gsheet,SOP Sales channel not Marketplace,https://docs.google.com/spreadsheets/d/13H8VARjbRnIGNIRML6d4w-NFmuUYXhV7PbJR94Yar4s/edit?gid=0#gid=0,List sales channel,
Gsheet,Dashboard & SOP Directory,https://lookerstudio.google.com/u/0/reporting/5534b966-8e6c-4fb0-8e85-a462eb6ab84c/page/p_dfbakc85nc,Dashboard SOP,
Gsheet,Claim DT 2023,https://docs.google.com/spreadsheets/d/1DeFIp7Hcm8a1XUGYds1rFTlhlA8C7X9lP5XLk5jKIHo/edit?gid=1457324377#gid=1457324377,Data Claim DT,
Gsheet,Handover IC - Sept 2024,https://docs.google.com/spreadsheets/d/1V0n24F6uy67dnnfuzGPel0q6HIQz3cfAI4i3ddyRj6Q/edit?gid=0#gid=0,Handover IC,
Gsheet,Mapping Location New Odoo vs Netsuite,https://docs.google.com/spreadsheets/d/1_rHOUu6u4A_tpP7ScrdgQ6iVmijijB2mCHXTSQ6t1Bg/,Mapping Code WH,
Gsheet,Process Interco,https://docs.google.com/spreadsheets/d/1Jtjlx8-LmVC0PQMD8YRaCnwo1HVe2cx6CHHg31BPAso/edit#gid=747101839,Prosedur dan Mapping Interco,
Gsheet,Benoa - Mapping IRA Per Brand,https://docs.google.com/spreadsheets/d/1Xc2iB8fS_R_aygB0AI_O8dWXUOjD1O7Eu5E9L8EZz1o/edit?gid=0#gid=0,IRA Team x Brand x Status Terminate Brand x Bussines Type x PPIC x Commcial Team,
Gsheet,Non-KLOG - Mapping IRA per Brand,https://docs.google.com/spreadsheets/d/1-IHxc8Ebwhxvc21A7OgQhk_Wq7ImZnWZ2pID4W-3xcA/edit?gid=0#gid=0,IRA Team x Brand x Alamat,
Gsheet,List WH Sirclo Consigment,https://docs.google.com/spreadsheets/d/1_x5OjPysq73rRi-14sJ4c6qzLYjPJMStJ2_x5rX5FPI/edit?gid=0#gid=0,Daftar lengkap Alamat WH Brand Consigment,
Gsheet,List WH Non-Klog,https://docs.google.com/spreadsheets/d/1-IHxc8Ebwhxvc21A7OgQhk_Wq7ImZnWZ2pID4W-3xcA/edit?gid=0#gid=0,List WH non Klog berdasarkan WHP,
Gsheet,MST,https://drive.google.com/drive/folders/18ycGuIArgVWla-nRQJiHLUIupDCkw3z1,Rekapan MST,
Gsheet,Data Klaim WH Partner,https://docs.google.com/spreadsheets/d/1XD_7oGZOtgq2JjVqnUCt6QkAHkwlpo491q24mVbaRe0/edit?gid=0#gid=0,Rekapan data Claim WHP,
Gsheet,SIRCLO Commerce - Team 2024,https://docs.google.com/spreadsheets/d/1uFQ_-MGEedfknrb4THm2aBKLHTEqtfDceeIVPyozujQ/edit?gid=1066110522#gid=1066110522,"Mapping IRA, Commerce, Store Ops, CS, Creative, CopyWriter Se-SIRCLO Commerce Universe",
Gsheet,JIRA - IC System NED (New),https://script.google.com/a/macros/sirclo.com/s/AKfycbwA6hlxXx7IdIvZa4Rd_xTOeiPXD8Zro8CP4XM3bRqUnqfuUnzf2FpKxEPJd3BcUo8Glw/exec,,
